date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:51	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f727f68-247b%22	https://biancatrink.github.io/robots.txt		(from )
17:32:52	34572/34572	---M-Z	200	added ('OK')	text/html	etag:W/%226237359d-870c%22	https://biancatrink.github.io/	./biancasite/biancatrink.github.io/index.html	(from )
17:32:53	6643/6643	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%226237359d-19f3%22	https://biancatrink.github.io/assets/img/favicon.ico	./biancasite/biancatrink.github.io/assets/img/favicon.ico	(from https://biancatrink.github.io/)
17:32:54	184470/184470	---M-Z	200	added ('OK')	text/css	etag:W/%226237359d-2d096%22	https://biancatrink.github.io/css/styles.css	./biancasite/biancatrink.github.io/css/styles.css	(from https://biancatrink.github.io/)
17:32:55	26984/26984	---M--	200	added ('OK')	image/jpeg	etag:%226237359d-6968%22	https://biancatrink.github.io/assets/img/profile.jpg	./biancasite/biancatrink.github.io/assets/img/profile.jpg	(from https://biancatrink.github.io/)
17:32:56	328392/328392	---M--	200	added ('OK')	application/pdf	etag:%226237359d-502c8%22	https://biancatrink.github.io/files/MyCV.pdf	./biancasite/biancatrink.github.io/files/MyCV.pdf	(from https://biancatrink.github.io/)
17:32:57	1991190/1991190	---M--	200	added ('OK')	application/pdf	etag:%226237359d-1e6216%22	https://biancatrink.github.io/files/papers/TOSEM2021.pdf	./biancasite/biancatrink.github.io/files/papers/TOSEM2021.pdf	(from https://biancatrink.github.io/)
17:32:59	843830/843830	---M--	200	added ('OK')	application/pdf	etag:%226237359d-ce036%22	https://biancatrink.github.io/files/papers/JISA2021.pdf	./biancasite/biancatrink.github.io/files/papers/JISA2021.pdf	(from https://biancatrink.github.io/)
17:32:59	3966928/3966928	---M--	200	added ('OK')	application/pdf	etag:%226237359d-3c87d0%22	https://biancatrink.github.io/files/papers/TSE2021.pdf	./biancasite/biancatrink.github.io/files/papers/TSE2021.pdf	(from https://biancatrink.github.io/)
17:32:59	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f99a1ac-247b%22	https://biancatrink.github.io/files/papers/IST2021.pdf	./biancasite/biancatrink.github.io/files/papers/IST2021.7.delayed	(from https://biancatrink.github.io/)
17:33:01	305432/305432	---M--	200	added ('OK')	application/pdf	etag:%226237359d-4a918%22	https://biancatrink.github.io/files/papers/iSys.pdf	./biancasite/biancatrink.github.io/files/papers/iSys.pdf	(from https://biancatrink.github.io/)
17:33:02	1119944/1119944	---M--	200	added ('OK')	application/pdf	etag:%226237359d-1116c8%22	https://biancatrink.github.io/files/papers/ICSESEIS2022-Ericsson.pdf	./biancasite/biancatrink.github.io/files/papers/ICSESEIS2022-Ericsson.pdf	(from https://biancatrink.github.io/)
17:33:03	557572/557572	---M--	200	added ('OK')	application/pdf	etag:%226237359d-88204%22	https://biancatrink.github.io/files/papers/ICSESEIS2022-ASF.pdf	./biancasite/biancatrink.github.io/files/papers/ICSESEIS2022-ASF.pdf	(from https://biancatrink.github.io/)
17:33:04	711071/711071	---M--	200	added ('OK')	application/pdf	etag:%226237359d-ad99f%22	https://biancatrink.github.io/files/papers/SBSI2021.pdf	./biancasite/biancatrink.github.io/files/papers/SBSI2021.pdf	(from https://biancatrink.github.io/)
17:33:05	3585369/3585369	---M--	200	added ('OK')	application/pdf	etag:%226237359d-36b559%22	https://biancatrink.github.io/files/papers/ICSE2021.pdf	./biancasite/biancatrink.github.io/files/papers/ICSE2021.pdf	(from https://biancatrink.github.io/)
17:33:06	1261694/1261694	---M--	200	added ('OK')	application/pdf	etag:%226237359d-13407e%22	https://biancatrink.github.io/files/papers/MSR2021.pdf	./biancasite/biancatrink.github.io/files/papers/MSR2021.pdf	(from https://biancatrink.github.io/)
17:33:07	1215133/1215133	---M--	200	added ('OK')	application/pdf	etag:%226237359d-128a9d%22	https://biancatrink.github.io/files/papers/CSCW2020.pdf	./biancasite/biancatrink.github.io/files/papers/CSCW2020.pdf	(from https://biancatrink.github.io/)
17:33:08	927364/927364	---M--	200	added ('OK')	application/pdf	etag:%226237359d-e2684%22	https://biancatrink.github.io/files/papers/OPENSYM2020.pdf	./biancasite/biancatrink.github.io/files/papers/OPENSYM2020.pdf	(from https://biancatrink.github.io/)
17:33:09	441519/441519	---M--	200	added ('OK')	application/pdf	etag:%226237359d-6bcaf%22	https://biancatrink.github.io/files/papers/PROFES2019.pdf	./biancasite/biancatrink.github.io/files/papers/PROFES2019.pdf	(from https://biancatrink.github.io/)
17:33:10	581032/581032	---M--	200	added ('OK')	application/pdf	etag:%226237359d-8dda8%22	https://biancatrink.github.io/files/papers/SBQS2019.pdf	./biancasite/biancatrink.github.io/files/papers/SBQS2019.pdf	(from https://biancatrink.github.io/)
17:33:11	610815/610815	---M--	200	added ('OK')	application/pdf	etag:%226237359d-951ff%22	https://biancatrink.github.io/files/papers/ESEM2018.pdf	./biancasite/biancatrink.github.io/files/papers/ESEM2018.pdf	(from https://biancatrink.github.io/)
17:33:12	572503/572503	---M--	200	added ('OK')	application/pdf	etag:%226237359d-8bc57%22	https://biancatrink.github.io/files/papers/ESEM2017.pdf	./biancasite/biancatrink.github.io/files/papers/ESEM2017.pdf	(from https://biancatrink.github.io/)
17:33:13	614415/614415	---M--	200	added ('OK')	application/pdf	etag:%226237359d-9600f%22	https://biancatrink.github.io/files/papers/PROFES2015.pdf	./biancasite/biancatrink.github.io/files/papers/PROFES2015.pdf	(from https://biancatrink.github.io/)
17:33:14	651079/651079	---M--	200	added ('OK')	application/pdf	etag:%226237359d-9ef47%22	https://biancatrink.github.io/files/papers/SBQS2015.pdf	./biancasite/biancatrink.github.io/files/papers/SBQS2015.pdf	(from https://biancatrink.github.io/)
17:33:15	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f727f68-247b%22	https://biancatrink.github.io/files/papers/ICEIS_EC2015.pdf	./biancasite/biancatrink.github.io/files/papers/ICEIS_EC2015.pdf	(from https://biancatrink.github.io/)
17:33:16	462039/462039	---M--	200	added ('OK')	application/pdf	etag:%226237359d-70cd7%22	https://biancatrink.github.io/files/papers/SEKE2015.pdf	./biancasite/biancatrink.github.io/files/papers/SEKE2015.pdf	(from https://biancatrink.github.io/)
17:33:17	369604/369604	---M--	200	added ('OK')	application/pdf	etag:%226237359d-5a3c4%22	https://biancatrink.github.io/files/papers/ICEIS_MS2015.pdf	./biancasite/biancatrink.github.io/files/papers/ICEIS_MS2015.pdf	(from https://biancatrink.github.io/)
17:33:18	440078/440078	---M--	200	added ('OK')	application/pdf	etag:%226237359d-6b70e%22	https://biancatrink.github.io/files/papers/ICSE_DS2021.pdf	./biancasite/biancatrink.github.io/files/papers/ICSE_DS2021.pdf	(from https://biancatrink.github.io/)
17:33:19	438540/438540	---M--	200	added ('OK')	application/pdf	etag:%226237359d-6b10c%22	https://biancatrink.github.io/files/papers/ICSE_SC2021.pdf	./biancasite/biancatrink.github.io/files/papers/ICSE_SC2021.pdf	(from https://biancatrink.github.io/)
17:33:20	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://biancatrink.github.io/files/papers/WAMPS_2014.pdf	./biancasite/biancatrink.github.io/files/papers/WAMPS_2014.pdf	(from https://biancatrink.github.io/)
